lot_id,component_id,param_name,value_0h,value_24h,value_96h,value_168h
LOT_000,LOT_000_C0015,leakage_current_uA,15.415,15.4616,16.0635,16.5793
LOT_000,LOT_000_C0015,propagation_delay_ns,10.3692,10.4067,10.4893,10.6048
LOT_000,LOT_000_C0016,leakage_current_uA,20.4437,20.9259,21.4878,21.7117
LOT_000,LOT_000_C0016,propagation_delay_ns,10.5334,10.6073,10.7393,11.0372
LOT_000,LOT_000_C0017,leakage_current_uA,12.2915,12.7124,15.3507,24.0963
LOT_000,LOT_000_C0017,propagation_delay_ns,10.6132,10.4078,12.6684,18.204
LOT_000,LOT_000_C0018,leakage_current_uA,17.7105,17.436,18.5786,18.9496
LOT_000,LOT_000_C0018,propagation_delay_ns,11.4101,11.5701,11.8022,11.9978
LOT_000,LOT_000_C0019,leakage_current_uA,14.002,14.3891,14.2736,14.9896
LOT_000,LOT_000_C0019,propagation_delay_ns,9.5437,9.573,9.706,10.0641
LOT_000,LOT_000_C0020,leakage_current_uA,17.9509,17.8515,18.437,18.5379
LOT_000,LOT_000_C0020,propagation_delay_ns,9.7845,9.7459,10.2484,10.5215
LOT_000,LOT_000_C0021,leakage_current_uA,17.9188,18.0887,18.6131,18.9126
LOT_000,LOT_000_C0021,propagation_delay_ns,10.6878,10.9123,11.1923,11.2303
LOT_000,LOT_000_C0022,leakage_current_uA,18.3344,17.9082,18.7261,18.9781
LOT_000,LOT_000_C0022,propagation_delay_ns,12.1268,11.9732,12.2709,12.4228
LOT_000,LOT_000_C0023,leakage_current_uA,16.2379,16.7694,20.8745,28.8091
LOT_000,LOT_000_C0023,propagation_delay_ns,10.1359,10.0523,12.5714,15.5225
LOT_000,LOT_000_C0024,leakage_current_uA,17.2839,17.295,18.1513,18.0805
LOT_000,LOT_000_C0024,propagation_delay_ns,10.6812,10.7412,11.0151,11.1123
LOT_000,LOT_000_C0025,leakage_current_uA,18.0884,18.3797,18.3037,18.702
LOT_000,LOT_000_C0025,propagation_delay_ns,10.6218,10.44,10.7318,10.9223
LOT_000,LOT_000_C0026,leakage_current_uA,12.1721,12.4185,12.9669,12.8942
LOT_000,LOT_000_C0026,propagation_delay_ns,9.357,9.2554,9.4172,9.6878
LOT_000,LOT_000_C0027,leakage_current_uA,18.526,18.8459,18.904,19.6198
LOT_000,LOT_000_C0027,propagation_delay_ns,9.935,10.1651,10.2682,10.4023
LOT_000,LOT_000_C0028,leakage_current_uA,18.3621,18.6918,19.2713,20.2852
LOT_000,LOT_000_C0028,propagation_delay_ns,10.4337,10.5146,10.8748,11.0924
LOT_000,LOT_000_C0029,leakage_current_uA,20.8488,20.9614,21.5346,21.9782
LOT_000,LOT_000_C0029,propagation_delay_ns,8.7962,8.8662,8.8693,8.9792
LOT_000,LOT_000_C0030,leakage_current_uA,19.8884,19.7928,20.2114,20.7357
LOT_000,LOT_000_C0030,propagation_delay_ns,10.1867,10.4955,10.7099,10.9005
LOT_000,LOT_000_C0031,leakage_current_uA,16.6322,16.7132,17.2894,17.5419
LOT_000,LOT_000_C0031,propagation_delay_ns,10.9785,10.8667,11.1561,11.2579
LOT_000,LOT_000_C0032,leakage_current_uA,15.8366,15.9004,16.1019,16.832
LOT_000,LOT_000_C0032,propagation_delay_ns,10.1813,10.3424,10.4632,10.5084
LOT_000,LOT_000_C0033,leakage_current_uA,19.4486,19.354,19.5021,19.919
LOT_000,LOT_000_C0033,propagation_delay_ns,10.2126,10.346,10.4923,10.649
LOT_000,LOT_000_C0034,leakage_current_uA,20.2555,20.8418,21.705,22.3385
LOT_000,LOT_000_C0034,propagation_delay_ns,11.1591,11.1983,11.4799,11.6587
LOT_000,LOT_000_C0035,leakage_current_uA,22.9144,22.8607,23.7087,24.4828
LOT_000,LOT_000_C0035,propagation_delay_ns,10.0806,10.0944,10.301,10.5927
LOT_000,LOT_000_C0036,leakage_current_uA,18.065,17.9073,18.5905,19.5844
LOT_000,LOT_000_C0036,propagation_delay_ns,9.0125,9.2094,9.3729,9.5279
LOT_000,LOT_000_C0037,leakage_current_uA,22.824,23.3211,23.3776,24.2594
LOT_000,LOT_000_C0037,propagation_delay_ns,9.5158,9.7159,9.9519,9.9969
LOT_000,LOT_000_C0038,leakage_current_uA,25.1639,24.9299,25.5875,26.2621
LOT_000,LOT_000_C0038,propagation_delay_ns,13.2062,13.4163,13.5686,13.8167
LOT_000,LOT_000_C0039,leakage_current_uA,21.9021,22.0153,22.6246,23.192
LOT_000,LOT_000_C0039,propagation_delay_ns,8.3461,8.3755,8.6759,8.8868
LOT_000,LOT_000_C0040,leakage_current_uA,16.8336,17.1744,17.5035,18.0083
LOT_000,LOT_000_C0040,propagation_delay_ns,10.5713,10.5835,10.6246,10.812
LOT_000,LOT_000_C0041,leakage_current_uA,19.1944,19.5543,28.3585,43.9963
LOT_000,LOT_000_C0041,propagation_delay_ns,9.0291,9.1459,11.3305,14.0105
LOT_000,LOT_000_C0042,leakage_current_uA,17.9093,18.3606,18.3602,18.7292
LOT_000,LOT_000_C0042,propagation_delay_ns,10.7352,10.7726,10.933,11.2468
LOT_000,LOT_000_C0043,leakage_current_uA,17.3037,17.1735,17.8414,17.9328
LOT_000,LOT_000_C0043,propagation_delay_ns,9.5836,9.5486,9.8348,10.0148
LOT_000,LOT_000_C0044,leakage_current_uA,23.7006,23.1472,24.1428,24.6607
LOT_000,LOT_000_C0044,propagation_delay_ns,10.3529,10.5803,10.6454,10.9146
LOT_000,LOT_000_C0045,leakage_current_uA,18.4992,18.7274,19.2744,19.774
LOT_000,LOT_000_C0045,propagation_delay_ns,10.4585,10.6041,10.88,11.0762
LOT_000,LOT_000_C0046,leakage_current_uA,19.9118,20.231,20.4838,20.8098
LOT_000,LOT_000_C0046,propagation_delay_ns,10.5993,10.3762,10.7715,11.1915
LOT_000,LOT_000_C0047,leakage_current_uA,20.4085,21.0573,21.1141,22.2552
LOT_000,LOT_000_C0047,propagation_delay_ns,10.3732,10.333,10.467,10.759
LOT_000,LOT_000_C0048,leakage_current_uA,19.0135,19.1139,20.1616,20.6333
LOT_000,LOT_000_C0048,propagation_delay_ns,10.002,10.0964,10.1702,10.3671
LOT_000,LOT_000_C0049,leakage_current_uA,22.079,22.7275,23.3825,23.5848
LOT_000,LOT_000_C0049,propagation_delay_ns,10.4981,10.587,10.6439,10.9905
LOT_000,LOT_000_C0050,leakage_current_uA,18.4957,18.8119,19.4167,19.8506
LOT_000,LOT_000_C0050,propagation_delay_ns,10.2069,10.2211,10.4133,10.6608
LOT_000,LOT_000_C0051,leakage_current_uA,18.907,19.3015,19.6076,20.1511
LOT_000,LOT_000_C0051,propagation_delay_ns,10.9438,10.9865,11.0811,11.5047
LOT_000,LOT_000_C0052,leakage_current_uA,17.4673,17.6597,18.4831,18.9971
LOT_000,LOT_000_C0052,propagation_delay_ns,9.9598,10.0097,10.1736,10.3486
LOT_000,LOT_000_C0053,leakage_current_uA,12.4976,13.1599,13.5902,14.2906
LOT_000,LOT_000_C0053,propagation_delay_ns,11.3382,11.4768,11.5944,11.8317
LOT_000,LOT_000_C0054,leakage_current_uA,22.2525,22.407,22.588,23.6169
LOT_000,LOT_000_C0054,propagation_delay_ns,10.8558,10.919,11.1578,11.4581
LOT_000,LOT_000_C0055,leakage_current_uA,16.4064,17.1101,20.5845,32.5021
LOT_000,LOT_000_C0055,propagation_delay_ns,10.3828,10.5688,12.4948,15.3843
LOT_000,LOT_000_C0056,leakage_current_uA,17.0407,17.5036,18.0553,18.0246
LOT_000,LOT_000_C0056,propagation_delay_ns,10.0491,9.9922,10.184,10.4125
LOT_000,LOT_000_C0057,leakage_current_uA,22.9007,23.588,23.9626,24.5422
LOT_000,LOT_000_C0057,propagation_delay_ns,10.6702,10.686,10.7779,10.9363
LOT_000,LOT_000_C0058,leakage_current_uA,20.9499,21.2657,21.9811,22.3818
LOT_000,LOT_000_C0058,propagation_delay_ns,9.627,9.8266,9.9731,10.2434
LOT_000,LOT_000_C0059,leakage_current_uA,22.9563,23.1456,23.7157,23.9408
LOT_000,LOT_000_C0059,propagation_delay_ns,10.8554,11.0926,11.2963,11.5891
LOT_000,LOT_000_C0060,leakage_current_uA,18.3262,18.5647,19.0425,19.7853
LOT_000,LOT_000_C0060,propagation_delay_ns,9.8361,10.0056,10.1556,10.2859
LOT_000,LOT_000_C0061,leakage_current_uA,18.4241,19.0174,18.9297,19.2524
LOT_000,LOT_000_C0061,propagation_delay_ns,8.2487,8.2758,8.6123,8.6791
LOT_000,LOT_000_C0062,leakage_current_uA,22.9573,23.0975,23.6358,24.5655
LOT_000,LOT_000_C0062,propagation_delay_ns,8.0173,8.0996,8.2723,8.3792
LOT_000,LOT_000_C0063,leakage_current_uA,18.2942,18.2219,18.7867,19.0158
LOT_000,LOT_000_C0063,propagation_delay_ns,9.7299,9.7781,10.0607,9.9379
LOT_000,LOT_000_C0064,leakage_current_uA,14.9433,15.077,15.1131,15.572
LOT_000,LOT_000_C0064,propagation_delay_ns,9.5747,9.4749,9.6846,9.8356
LOT_000,LOT_000_C0065,leakage_current_uA,13.3593,13.6737,13.6255,14.1353
LOT_000,LOT_000_C0065,propagation_delay_ns,10.4249,10.347,10.6742,10.7141
LOT_000,LOT_000_C0066,leakage_current_uA,20.7076,21.0832,21.6297,22.0817
LOT_000,LOT_000_C0066,propagation_delay_ns,10.1955,10.1594,10.4162,10.6896
LOT_000,LOT_000_C0067,leakage_current_uA,24.6986,25.4394,25.38,25.8657
LOT_000,LOT_000_C0067,propagation_delay_ns,9.785,9.7907,9.932,10.0742
LOT_000,LOT_000_C0068,leakage_current_uA,16.6731,16.9425,17.0209,17.502
LOT_000,LOT_000_C0068,propagation_delay_ns,9.4734,9.4842,9.5828,9.7963
LOT_000,LOT_000_C0069,leakage_current_uA,23.3576,23.3819,24.1736,24.5054
LOT_000,LOT_000_C0069,propagation_delay_ns,10.7047,10.8482,11.0232,11.1161
LOT_000,LOT_000_C0070,leakage_current_uA,15.9117,16.1056,16.2631,16.8855
LOT_000,LOT_000_C0070,propagation_delay_ns,10.9098,10.9417,10.929,11.2941
LOT_000,LOT_000_C0071,leakage_current_uA,17.6395,17.6733,17.7928,18.6334
LOT_000,LOT_000_C0071,propagation_delay_ns,8.8924,8.7683,9.0063,9.0861
LOT_000,LOT_000_C0072,leakage_current_uA,17.3291,17.8817,17.7764,18.5482
LOT_000,LOT_000_C0072,propagation_delay_ns,10.311,10.3924,10.5429,10.6461
LOT_000,LOT_000_C0073,leakage_current_uA,21.2544,21.6688,22.2397,22.4204
LOT_000,LOT_000_C0073,propagation_delay_ns,10.6073,10.6267,10.9968,11.1076
LOT_000,LOT_000_C0074,leakage_current_uA,18.0312,18.252,19.4733,19.8814
LOT_000,LOT_000_C0074,propagation_delay_ns,10.4878,10.6976,10.7794,10.9038
LOT_000,LOT_000_C0075,leakage_current_uA,17.394,18.1335,18.824,18.8269
LOT_000,LOT_000_C0075,propagation_delay_ns,9.5539,9.6779,9.6579,10.006
LOT_000,LOT_000_C0076,leakage_current_uA,20.8031,21.343,22.4525,22.1169
LOT_000,LOT_000_C0076,propagation_delay_ns,9.9848,9.9186,10.1389,10.2917
LOT_000,LOT_000_C0077,leakage_current_uA,24.6399,24.3558,25.443,25.4555
LOT_000,LOT_000_C0077,propagation_delay_ns,9.6039,9.7934,10.0128,10.128
LOT_000,LOT_000_C0078,leakage_current_uA,14.701,14.186,14.6736,15.4362
LOT_000,LOT_000_C0078,propagation_delay_ns,10.6489,10.6183,10.8597,11.247
LOT_000,LOT_000_C0079,leakage_current_uA,18.652,18.8084,19.0513,19.4137
LOT_000,LOT_000_C0079,propagation_delay_ns,12.3823,12.5609,12.6464,12.8008
LOT_000,LOT_000_C0080,leakage_current_uA,20.9058,21.4882,21.8141,22.3026
LOT_000,LOT_000_C0080,propagation_delay_ns,9.7538,9.8053,10.0882,10.0762
LOT_000,LOT_000_C0081,leakage_current_uA,22.0116,22.2151,29.3803,38.9377
LOT_000,LOT_000_C0081,propagation_delay_ns,11.0646,11.1353,13.7079,19.4122
LOT_000,LOT_000_C0082,leakage_current_uA,22.8193,23.6448,24.3795,24.7274
LOT_000,LOT_000_C0082,propagation_delay_ns,10.2595,10.4139,10.4603,10.6219
LOT_000,LOT_000_C0083,leakage_current_uA,23.6099,23.2101,24.5295,24.6881
LOT_000,LOT_000_C0083,propagation_delay_ns,9.9733,10.2457,10.3639,10.6104
LOT_000,LOT_000_C0084,leakage_current_uA,17.9013,17.924,18.3982,18.6332
LOT_000,LOT_000_C0084,propagation_delay_ns,10.9069,10.6954,11.1406,11.3846
LOT_000,LOT_000_C0085,leakage_current_uA,16.9166,17.0315,17.1778,17.4955
LOT_000,LOT_000_C0085,propagation_delay_ns,10.1606,10.117,10.1819,10.463
LOT_000,LOT_000_C0086,leakage_current_uA,22.0482,22.0249,22.5278,23.2186
LOT_000,LOT_000_C0086,propagation_delay_ns,8.6993,8.725,8.6948,8.9872
LOT_000,LOT_000_C0087,leakage_current_uA,22.5425,22.3177,23.5454,23.754
LOT_000,LOT_000_C0087,propagation_delay_ns,10.6418,10.5851,10.8112,11.085
LOT_000,LOT_000_C0088,leakage_current_uA,20.5774,21.2085,21.4342,22.6124
LOT_000,LOT_000_C0088,propagation_delay_ns,10.3655,10.4676,10.5105,10.674
LOT_000,LOT_000_C0089,leakage_current_uA,20.5325,20.433,21.0623,21.7135
LOT_000,LOT_000_C0089,propagation_delay_ns,8.6657,8.6196,8.5706,8.85
LOT_000,LOT_000_C0090,leakage_current_uA,18.3599,18.7336,19.6014,19.6918
LOT_000,LOT_000_C0090,propagation_delay_ns,10.8105,10.9239,11.0457,11.4208
LOT_000,LOT_000_C0091,leakage_current_uA,15.201,15.1182,15.5716,15.7521
LOT_000,LOT_000_C0091,propagation_delay_ns,9.1553,9.3043,9.317,9.5837
LOT_000,LOT_000_C0092,leakage_current_uA,15.5734,16.1924,16.4569,16.843
LOT_000,LOT_000_C0092,propagation_delay_ns,10.7212,10.9298,10.953,11.1149
LOT_000,LOT_000_C0093,leakage_current_uA,20.3142,20.5466,21.4728,21.7504
LOT_000,LOT_000_C0093,propagation_delay_ns,11.3474,11.4726,11.5876,12.0097
LOT_000,LOT_000_C0094,leakage_current_uA,18.8789,19.0965,19.3565,19.4951
LOT_000,LOT_000_C0094,propagation_delay_ns,10.86,10.9721,10.9956,11.4249
LOT_000,LOT_000_C0095,leakage_current_uA,15.9745,16.3185,17.402,17.5123
LOT_000,LOT_000_C0095,propagation_delay_ns,11.0393,11.2126,11.2804,11.3555
LOT_000,LOT_000_C0096,leakage_current_uA,16.9193,16.5876,17.1743,17.6059
LOT_000,LOT_000_C0096,propagation_delay_ns,9.8594,9.9231,10.2535,10.4779
LOT_000,LOT_000_C0097,leakage_current_uA,18.7836,18.7625,19.307,19.9975
LOT_000,LOT_000_C0097,propagation_delay_ns,9.6644,9.7814,9.8314,10.1839
LOT_000,LOT_000_C0098,leakage_current_uA,18.5309,18.3803,18.9969,19.8885
LOT_000,LOT_000_C0098,propagation_delay_ns,11.252,11.4031,11.5673,11.8925
LOT_000,LOT_000_C0099,leakage_current_uA,16.7403,16.7098,17.9029,17.8854
LOT_000,LOT_000_C0099,propagation_delay_ns,9.7151,9.8667,10.001,10.2643
LOT_000,LOT_000_C0100,leakage_current_uA,20.558,21.0387,20.9291,21.6886
LOT_000,LOT_000_C0100,propagation_delay_ns,11.2165,11.367,11.6953,11.8365
LOT_000,LOT_000_C0101,leakage_current_uA,19.6592,20.0296,20.5561,21.2797
LOT_000,LOT_000_C0101,propagation_delay_ns,10.3673,10.6259,10.5096,10.9128
LOT_000,LOT_000_C0102,leakage_current_uA,16.9636,17.248,17.7004,17.8333
LOT_000,LOT_000_C0102,propagation_delay_ns,11.4439,11.434,11.7368,11.8181
LOT_000,LOT_000_C0103,leakage_current_uA,16.7421,16.9801,17.6811,17.5428
LOT_000,LOT_000_C0103,propagation_delay_ns,11.1584,11.1446,11.5439,11.5786
LOT_000,LOT_000_C0104,leakage_current_uA,21.0878,21.2012,21.9709,22.1335
LOT_000,LOT_000_C0104,propagation_delay_ns,9.6924,9.7084,9.8571,10.0919
LOT_000,LOT_000_C0105,leakage_current_uA,14.1788,14.9157,15.2254,16.224
LOT_000,LOT_000_C0105,propagation_delay_ns,9.3481,9.3619,9.4007,9.6554
LOT_000,LOT_000_C0106,leakage_current_uA,19.0199,19.307,19.3939,20.2498
LOT_000,LOT_000_C0106,propagation_delay_ns,10.5561,10.8275,11.0065,11.1549
LOT_000,LOT_000_C0107,leakage_current_uA,18.1163,18.3626,19.1784,19.152
LOT_000,LOT_000_C0107,propagation_delay_ns,10.877,10.9269,11.2451,11.3854
LOT_000,LOT_000_C0108,leakage_current_uA,14.4506,14.4368,15.2975,15.5797
LOT_000,LOT_000_C0108,propagation_delay_ns,12.5143,12.4763,12.7144,12.9554
LOT_000,LOT_000_C0109,leakage_current_uA,12.8173,12.3747,12.875,13.3964
LOT_000,LOT_000_C0109,propagation_delay_ns,9.9254,10.2179,10.3794,10.5345
LOT_000,LOT_000_C0110,leakage_current_uA,19.4244,19.9024,20.0981,21.3291
LOT_000,LOT_000_C0110,propagation_delay_ns,9.076,9.0555,9.0977,9.1409
LOT_000,LOT_000_C0111,leakage_current_uA,17.6373,17.7852,18.3438,18.862
LOT_000,LOT_000_C0111,propagation_delay_ns,8.9578,8.8366,9.0823,9.1937
LOT_000,LOT_000_C0112,leakage_current_uA,19.8494,19.7558,19.7365,20.6157
LOT_000,LOT_000_C0112,propagation_delay_ns,9.5436,9.5252,9.7587,9.763
LOT_000,LOT_000_C0113,leakage_current_uA,17.2336,17.7553,18.0466,18.7104
LOT_000,LOT_000_C0113,propagation_delay_ns,12.4031,12.3885,12.661,12.9193
LOT_000,LOT_000_C0114,leakage_current_uA,16.0497,15.9335,16.8268,16.8364
LOT_000,LOT_000_C0114,propagation_delay_ns,12.8869,12.9413,13.1781,13.2749
LOT_000,LOT_000_C0115,leakage_current_uA,24.2405,24.08,25.1305,25.5236
LOT_000,LOT_000_C0115,propagation_delay_ns,11.6432,11.5034,11.7699,12.0551
LOT_000,LOT_000_C0116,leakage_current_uA,22.9652,22.5108,27.7152,39.2303
LOT_000,LOT_000_C0116,propagation_delay_ns,9.957,9.9869,11.0986,12.9429
LOT_000,LOT_000_C0117,leakage_current_uA,20.3767,20.6866,20.8033,21.9696
LOT_000,LOT_000_C0117,propagation_delay_ns,10.3248,10.1752,10.3892,10.7793
LOT_000,LOT_000_C0118,leakage_current_uA,19.0486,19.4545,19.9503,20.2879
LOT_000,LOT_000_C0118,propagation_delay_ns,10.0642,10.1713,10.3495,10.461
LOT_000,LOT_000_C0119,leakage_current_uA,21.5146,21.121,21.8115,22.5914
LOT_000,LOT_000_C0119,propagation_delay_ns,10.3384,10.4058,10.5357,10.7153
LOT_000,LOT_000_C0120,leakage_current_uA,18.2095,18.4664,19.1679,19.9495
LOT_000,LOT_000_C0120,propagation_delay_ns,8.682,8.8899,8.9582,9.1718
LOT_000,LOT_000_C0121,leakage_current_uA,21.1675,21.1905,21.8659,22.2773
LOT_000,LOT_000_C0121,propagation_delay_ns,9.6771,9.6688,9.6573,9.9381
LOT_000,LOT_000_C0122,leakage_current_uA,16.243,16.1739,16.4554,16.6883
LOT_000,LOT_000_C0122,propagation_delay_ns,10.9123,11.0277,11.1232,11.327
LOT_000,LOT_000_C0123,leakage_current_uA,15.2538,16.0257,16.8087,17.2668
LOT_000,LOT_000_C0123,propagation_delay_ns,8.8221,8.7178,8.8749,8.8316
LOT_000,LOT_000_C0124,leakage_current_uA,20.005,19.7771,20.8329,21.5247
LOT_000,LOT_000_C0124,propagation_delay_ns,9.3487,9.5522,9.7121,9.8261
LOT_000,LOT_000_C0125,leakage_current_uA,20.2516,20.5166,21.3323,21.6667
LOT_000,LOT_000_C0125,propagation_delay_ns,10.0418,10.2083,10.449,10.6396
LOT_000,LOT_000_C0126,leakage_current_uA,20.5715,20.8087,20.6939,22.3766
LOT_000,LOT_000_C0126,propagation_delay_ns,7.4473,7.3877,7.428,7.5856
LOT_000,LOT_000_C0127,leakage_current_uA,22.4475,22.4028,22.8487,23.7263
LOT_000,LOT_000_C0127,propagation_delay_ns,9.3459,9.2116,9.4666,9.5898
LOT_000,LOT_000_C0128,leakage_current_uA,23.3391,23.1204,23.3575,23.9832
LOT_000,LOT_000_C0128,propagation_delay_ns,9.5016,9.4729,9.6185,9.9773
LOT_000,LOT_000_C0129,leakage_current_uA,13.6882,13.83,14.9093,14.8725
LOT_000,LOT_000_C0129,propagation_delay_ns,10.4353,10.5576,10.6353,10.9558
LOT_000,LOT_000_C0130,leakage_current_uA,15.5203,15.8439,16.1076,16.6593
LOT_000,LOT_000_C0130,propagation_delay_ns,10.066,10.1142,10.2926,10.4741
LOT_000,LOT_000_C0131,leakage_current_uA,79.3442,80.8441,82.6673,86.4024
LOT_000,LOT_000_C0131,propagation_delay_ns,17.0957,17.1974,17.5345,18.032
LOT_000,LOT_000_C0132,leakage_current_uA,18.372,18.655,18.9442,19.4647
LOT_000,LOT_000_C0132,propagation_delay_ns,9.0072,9.0463,9.293,9.4218
LOT_000,LOT_000_C0133,leakage_current_uA,20.8434,20.4255,26.4085,39.6566
LOT_000,LOT_000_C0133,propagation_delay_ns,10.4068,10.6315,14.4534,20.4978
LOT_000,LOT_000_C0134,leakage_current_uA,24.3767,24.9593,25.2587,25.8656
LOT_000,LOT_000_C0134,propagation_delay_ns,9.6641,9.6842,9.7902,10.0296
LOT_000,LOT_000_C0135,leakage_current_uA,18.6287,19.3056,19.1765,20.4659
LOT_000,LOT_000_C0135,propagation_delay_ns,9.7631,9.9259,10.076,10.3501
LOT_000,LOT_000_C0136,leakage_current_uA,21.5675,21.3063,22.2342,23.0256
LOT_000,LOT_000_C0136,propagation_delay_ns,10.8193,10.8463,11.0993,11.453
LOT_000,LOT_000_C0137,leakage_current_uA,20.372,21.0363,21.2498,22.5099
LOT_000,LOT_000_C0137,propagation_delay_ns,12.9597,13.0889,13.2786,13.4556
LOT_000,LOT_000_C0138,leakage_current_uA,17.0748,17.987,18.1683,18.7294
LOT_000,LOT_000_C0138,propagation_delay_ns,10.0333,10.006,10.1943,10.2871
LOT_000,LOT_000_C0139,leakage_current_uA,17.7131,18.2352,18.6753,18.7339
LOT_000,LOT_000_C0139,propagation_delay_ns,10.0569,10.2078,10.4807,10.6549
LOT_000,LOT_000_C0140,leakage_current_uA,16.0404,16.141,16.4202,16.8312
LOT_000,LOT_000_C0140,propagation_delay_ns,9.6721,9.7723,9.9396,10.2009
LOT_000,LOT_000_C0141,leakage_current_uA,19.6584,19.4657,19.8418,21.2567
LOT_000,LOT_000_C0141,propagation_delay_ns,10.4414,10.6013,10.6655,10.7936
LOT_000,LOT_000_C0142,leakage_current_uA,23.0908,23.5721,24.3645,25.1636
LOT_000,LOT_000_C0142,propagation_delay_ns,11.1517,11.1522,11.3498,11.5291
LOT_000,LOT_000_C0143,leakage_current_uA,19.9371,19.9814,20.2813,20.9989
LOT_000,LOT_000_C0143,propagation_delay_ns,10.3931,10.2349,10.4532,10.6508
LOT_000,LOT_000_C0144,leakage_current_uA,19.3759,19.7566,20.1572,20.9477
LOT_000,LOT_000_C0144,propagation_delay_ns,10.5123,10.6338,10.6838,10.8205
LOT_000,LOT_000_C0145,leakage_current_uA,26.9231,27.1727,27.8586,29.0629
LOT_000,LOT_000_C0145,propagation_delay_ns,9.9032,10.0231,10.0852,10.2526
LOT_000,LOT_000_C0146,leakage_current_uA,19.9119,19.7838,20.5557,20.6556
LOT_000,LOT_000_C0146,propagation_delay_ns,9.8578,9.8518,9.9844,10.1697
LOT_000,LOT_000_C0147,leakage_current_uA,27.2368,27.5642,28.4255,29.319
LOT_000,LOT_000_C0147,propagation_delay_ns,9.9946,10.0217,10.2013,10.3526
LOT_000,LOT_000_C0148,leakage_current_uA,21.4391,21.1955,21.3103,22.1348
LOT_000,LOT_000_C0148,propagation_delay_ns,8.597,8.634,9.0141,9.1002
LOT_000,LOT_000_C0149,leakage_current_uA,21.0688,21.447,21.8912,21.8362
LOT_000,LOT_000_C0149,propagation_delay_ns,10.0658,10.0855,10.3038,10.5325
LOT_000,LOT_000_C0150,leakage_current_uA,19.6964,19.5517,20.0553,20.821
LOT_000,LOT_000_C0150,propagation_delay_ns,10.8903,10.9667,11.1787,11.4072
LOT_000,LOT_000_C0151,leakage_current_uA,16.6444,16.7305,16.9411,17.0918
LOT_000,LOT_000_C0151,propagation_delay_ns,10.3468,10.3464,10.5241,10.8298
LOT_000,LOT_000_C0152,leakage_current_uA,20.1311,19.8251,20.3024,20.3745
LOT_000,LOT_000_C0152,propagation_delay_ns,8.9654,9.0171,9.2778,9.4624
LOT_000,LOT_000_C0153,leakage_current_uA,16.824,16.4727,16.7167,17.654
LOT_000,LOT_000_C0153,propagation_delay_ns,10.5986,10.7084,10.9011,11.1357
LOT_000,LOT_000_C0154,leakage_current_uA,16.3018,15.7476,17.0412,17.0312
